[Epoch 0 Batch 4/414] loss=3.7987, lr=0.0000050, acc=0.078
[Epoch 0 Batch 8/414] loss=3.5777, lr=0.0000050, acc=0.070
[Epoch 0 Batch 12/414] loss=3.5545, lr=0.0000050, acc=0.146
[Epoch 0 Batch 16/414] loss=3.3915, lr=0.0000050, acc=0.203
[Epoch 0 Batch 20/414] loss=3.4257, lr=0.0000050, acc=0.241
[Epoch 0 Batch 24/414] loss=2.9461, lr=0.0000050, acc=0.299
[Epoch 0 Batch 28/414] loss=2.7914, lr=0.0000050, acc=0.344
[Epoch 0 Batch 32/414] loss=2.8034, lr=0.0000050, acc=0.350
[Epoch 0 Batch 36/414] loss=2.9168, lr=0.0000050, acc=0.363
[Epoch 0 Batch 40/414] loss=2.4028, lr=0.0000050, acc=0.380
[Epoch 0 Batch 44/414] loss=2.6108, lr=0.0000050, acc=0.394
[Epoch 0 Batch 48/414] loss=2.1113, lr=0.0000050, acc=0.421
[Epoch 0 Batch 52/414] loss=2.0684, lr=0.0000050, acc=0.437
[Epoch 0 Batch 56/414] loss=2.0803, lr=0.0000050, acc=0.451
[Epoch 0 Batch 60/414] loss=2.5113, lr=0.0000050, acc=0.455
[Epoch 0 Batch 64/414] loss=2.7403, lr=0.0000050, acc=0.454
[Epoch 0 Batch 68/414] loss=2.0213, lr=0.0000050, acc=0.464
[Epoch 0 Batch 72/414] loss=1.9479, lr=0.0000050, acc=0.473
[Epoch 0 Batch 76/414] loss=1.9215, lr=0.0000050, acc=0.483
[Epoch 0 Batch 80/414] loss=2.3296, lr=0.0000050, acc=0.484
[Epoch 0 Batch 84/414] loss=1.3236, lr=0.0000050, acc=0.500
[Epoch 0 Batch 88/414] loss=1.7353, lr=0.0000050, acc=0.505
[Epoch 0 Batch 92/414] loss=1.8502, lr=0.0000050, acc=0.509
[Epoch 0 Batch 96/414] loss=2.1442, lr=0.0000050, acc=0.511
[Epoch 0 Batch 100/414] loss=1.6999, lr=0.0000050, acc=0.518
[Epoch 0 Batch 104/414] loss=1.3968, lr=0.0000050, acc=0.526
[Epoch 0 Batch 108/414] loss=1.8711, lr=0.0000050, acc=0.529
[Epoch 0 Batch 112/414] loss=1.2851, lr=0.0000050, acc=0.538
[Epoch 0 Batch 116/414] loss=2.2386, lr=0.0000050, acc=0.536
[Epoch 0 Batch 120/414] loss=1.5301, lr=0.0000050, acc=0.540
[Epoch 0 Batch 124/414] loss=2.0759, lr=0.0000050, acc=0.541
[Epoch 0 Batch 128/414] loss=1.9551, lr=0.0000050, acc=0.543
[Epoch 0 Batch 132/414] loss=1.3164, lr=0.0000050, acc=0.550
[Epoch 0 Batch 136/414] loss=1.9066, lr=0.0000050, acc=0.552
[Epoch 0 Batch 140/414] loss=1.3392, lr=0.0000050, acc=0.558
[Epoch 0 Batch 144/414] loss=1.6190, lr=0.0000050, acc=0.560
[Epoch 0 Batch 148/414] loss=1.7201, lr=0.0000050, acc=0.562
[Epoch 0 Batch 152/414] loss=1.5856, lr=0.0000050, acc=0.564
[Epoch 0 Batch 156/414] loss=1.4861, lr=0.0000050, acc=0.566
