[Epoch 0 Batch 324/349] loss=0.2698, lr=0.0000050, acc=0.832
[Epoch 0 Batch 328/349] loss=0.1550, lr=0.0000050, acc=0.834
[Epoch 0 Batch 332/349] loss=0.3528, lr=0.0000050, acc=0.834
[Epoch 0 Batch 336/349] loss=0.2347, lr=0.0000050, acc=0.836
[Epoch 0 Batch 340/349] loss=0.3080, lr=0.0000050, acc=0.837
[Epoch 0 Batch 344/349] loss=0.2246, lr=0.0000050, acc=0.839
[Epoch 0 Batch 348/349] loss=0.4081, lr=0.0000050, acc=0.839
[Epoch 1 Batch 4/349] loss=0.1852, lr=0.0000050, acc=0.938
[Epoch 1 Batch 8/349] loss=0.3126, lr=0.0000050, acc=0.945
[Epoch 1 Batch 12/349] loss=0.1010, lr=0.0000050, acc=0.964
[Epoch 1 Batch 16/349] loss=0.1842, lr=0.0000050, acc=0.969
[Epoch 1 Batch 20/349] loss=0.1366, lr=0.0000050, acc=0.969
[Epoch 1 Batch 24/349] loss=0.1953, lr=0.0000050, acc=0.965
[Epoch 1 Batch 28/349] loss=0.2299, lr=0.0000050, acc=0.961
[Epoch 1 Batch 32/349] loss=0.1247, lr=0.0000050, acc=0.960
[Epoch 1 Batch 36/349] loss=0.1382, lr=0.0000050, acc=0.961
[Epoch 1 Batch 40/349] loss=0.0916, lr=0.0000050, acc=0.965
[Epoch 1 Batch 44/349] loss=0.1519, lr=0.0000050, acc=0.966
[Epoch 1 Batch 48/349] loss=0.2150, lr=0.0000050, acc=0.965
[Epoch 1 Batch 52/349] loss=0.0299, lr=0.0000050, acc=0.968
[Epoch 1 Batch 56/349] loss=0.2733, lr=0.0000050, acc=0.966
[Epoch 1 Batch 60/349] loss=0.0601, lr=0.0000050, acc=0.968
[Epoch 1 Batch 64/349] loss=0.1778, lr=0.0000050, acc=0.969
[Epoch 1 Batch 68/349] loss=0.1576, lr=0.0000050, acc=0.968
[Epoch 1 Batch 72/349] loss=0.0682, lr=0.0000050, acc=0.969
[Epoch 1 Batch 76/349] loss=0.1469, lr=0.0000050, acc=0.969
[Epoch 1 Batch 80/349] loss=0.0384, lr=0.0000050, acc=0.971
[Epoch 1 Batch 84/349] loss=0.2090, lr=0.0000050, acc=0.969
[Epoch 1 Batch 88/349] loss=0.1033, lr=0.0000050, acc=0.970
[Epoch 1 Batch 92/349] loss=0.1428, lr=0.0000050, acc=0.971
[Epoch 1 Batch 96/349] loss=0.2744, lr=0.0000050, acc=0.971
[Epoch 1 Batch 100/349] loss=0.1308, lr=0.0000050, acc=0.970
[Epoch 1 Batch 104/349] loss=0.1829, lr=0.0000050, acc=0.969
[Epoch 1 Batch 108/349] loss=0.1592, lr=0.0000050, acc=0.969
[Epoch 1 Batch 112/349] loss=0.3017, lr=0.0000050, acc=0.966
[Epoch 1 Batch 116/349] loss=0.0612, lr=0.0000050, acc=0.966
[Epoch 1 Batch 120/349] loss=0.2220, lr=0.0000050, acc=0.966
[Epoch 1 Batch 124/349] loss=0.0640, lr=0.0000050, acc=0.967
[Epoch 1 Batch 128/349] loss=0.1154, lr=0.0000050, acc=0.966
[Epoch 1 Batch 132/349] loss=0.2166, lr=0.0000050, acc=0.967
[Epoch 1 Batch 136/349] loss=0.4014, lr=0.0000050, acc=0.964
[Epoch 1 Batch 140/349] loss=0.1141, lr=0.0000050, acc=0.964
[Epoch 1 Batch 144/349] loss=0.0613, lr=0.0000050, acc=0.965
[Epoch 1 Batch 148/349] loss=0.0977, lr=0.0000050, acc=0.966
[Epoch 1 Batch 152/349] loss=0.1637, lr=0.0000050, acc=0.966
[Epoch 1 Batch 156/349] loss=0.2031, lr=0.0000050, acc=0.964
[Epoch 1 Batch 160/349] loss=0.0635, lr=0.0000050, acc=0.965
[Epoch 1 Batch 164/349] loss=0.0598, lr=0.0000050, acc=0.966
[Epoch 1 Batch 168/349] loss=0.0535, lr=0.0000050, acc=0.967
[Epoch 1 Batch 172/349] loss=0.1424, lr=0.0000050, acc=0.967
[Epoch 1 Batch 176/349] loss=0.1655, lr=0.0000050, acc=0.967
[Epoch 1 Batch 180/349] loss=0.3449, lr=0.0000050, acc=0.966
[Epoch 1 Batch 184/349] loss=0.3129, lr=0.0000050, acc=0.964
[Epoch 1 Batch 188/349] loss=0.0305, lr=0.0000050, acc=0.965
[Epoch 1 Batch 192/349] loss=0.0731, lr=0.0000050, acc=0.966
[Epoch 1 Batch 196/349] loss=0.1168, lr=0.0000050, acc=0.966
[Epoch 1 Batch 200/349] loss=0.1185, lr=0.0000050, acc=0.966
[Epoch 1 Batch 204/349] loss=0.0495, lr=0.0000050, acc=0.967
[Epoch 1 Batch 208/349] loss=0.0648, lr=0.0000050, acc=0.967
[Epoch 1 Batch 212/349] loss=0.0831, lr=0.0000050, acc=0.967
[Epoch 1 Batch 216/349] loss=0.0442, lr=0.0000050, acc=0.967
[Epoch 1 Batch 220/349] loss=0.0398, lr=0.0000050, acc=0.968
[Epoch 1 Batch 224/349] loss=0.0750, lr=0.0000050, acc=0.968
[Epoch 1 Batch 228/349] loss=0.0540, lr=0.0000050, acc=0.968
[Epoch 1 Batch 232/349] loss=0.0693, lr=0.0000050, acc=0.969
[Epoch 1 Batch 236/349] loss=0.1485, lr=0.0000050, acc=0.969
[Epoch 1 Batch 240/349] loss=0.0846, lr=0.0000050, acc=0.969
[Epoch 1 Batch 244/349] loss=0.1230, lr=0.0000050, acc=0.969
[Epoch 1 Batch 248/349] loss=0.0496, lr=0.0000050, acc=0.969
[Epoch 1 Batch 252/349] loss=0.1169, lr=0.0000050, acc=0.969
[Epoch 1 Batch 256/349] loss=0.0520, lr=0.0000050, acc=0.970
[Epoch 1 Batch 260/349] loss=0.3680, lr=0.0000050, acc=0.969
[Epoch 1 Batch 264/349] loss=0.0288, lr=0.0000050, acc=0.969
[Epoch 1 Batch 268/349] loss=0.0341, lr=0.0000050, acc=0.969
[Epoch 1 Batch 272/349] loss=0.0542, lr=0.0000050, acc=0.970
[Epoch 1 Batch 276/349] loss=0.0224, lr=0.0000050, acc=0.970
[Epoch 1 Batch 280/349] loss=0.0988, lr=0.0000050, acc=0.970
[Epoch 1 Batch 284/349] loss=0.1284, lr=0.0000050, acc=0.970
[Epoch 1 Batch 288/349] loss=0.1477, lr=0.0000050, acc=0.970
[Epoch 1 Batch 292/349] loss=0.1387, lr=0.0000050, acc=0.970
[Epoch 1 Batch 296/349] loss=0.1057, lr=0.0000050, acc=0.970
[Epoch 1 Batch 300/349] loss=0.0943, lr=0.0000050, acc=0.970
[Epoch 1 Batch 304/349] loss=0.1481, lr=0.0000050, acc=0.970
[Epoch 1 Batch 308/349] loss=0.1195, lr=0.0000050, acc=0.970
[Epoch 1 Batch 312/349] loss=0.1213, lr=0.0000050, acc=0.970
[Epoch 1 Batch 316/349] loss=0.0432, lr=0.0000050, acc=0.970
[Epoch 1 Batch 320/349] loss=0.0326, lr=0.0000050, acc=0.970
[Epoch 1 Batch 324/349] loss=0.1070, lr=0.0000050, acc=0.970
[Epoch 1 Batch 328/349] loss=0.0529, lr=0.0000050, acc=0.970
[Epoch 1 Batch 332/349] loss=0.0540, lr=0.0000050, acc=0.970
[Epoch 1 Batch 336/349] loss=0.0460, lr=0.0000050, acc=0.970
[Epoch 1 Batch 340/349] loss=0.1718, lr=0.0000050, acc=0.971
[Epoch 1 Batch 344/349] loss=0.0999, lr=0.0000050, acc=0.971
[Epoch 1 Batch 348/349] loss=0.0710, lr=0.0000050, acc=0.971
[Epoch 2 Batch 4/349] loss=0.1322, lr=0.0000050, acc=0.984
[Epoch 2 Batch 8/349] loss=0.0148, lr=0.0000050, acc=0.992
[Epoch 2 Batch 12/349] loss=0.0766, lr=0.0000050, acc=0.984
[Epoch 2 Batch 16/349] loss=0.0314, lr=0.0000050, acc=0.988
[Epoch 2 Batch 20/349] loss=0.0729, lr=0.0000050, acc=0.984
[Epoch 2 Batch 24/349] loss=0.1138, lr=0.0000050, acc=0.982
[Epoch 2 Batch 28/349] loss=0.0237, lr=0.0000050, acc=0.982
[Epoch 2 Batch 32/349] loss=0.0158, lr=0.0000050, acc=0.984
[Epoch 2 Batch 36/349] loss=0.0714, lr=0.0000050, acc=0.983
[Epoch 2 Batch 40/349] loss=0.1370, lr=0.0000050, acc=0.981
[Epoch 2 Batch 44/349] loss=0.0049, lr=0.0000050, acc=0.983
[Epoch 2 Batch 48/349] loss=0.0352, lr=0.0000050, acc=0.984
[Epoch 2 Batch 52/349] loss=0.0417, lr=0.0000050, acc=0.984
[Epoch 2 Batch 56/349] loss=0.0137, lr=0.0000050, acc=0.985
[Epoch 2 Batch 60/349] loss=0.0253, lr=0.0000050, acc=0.986
[Epoch 2 Batch 64/349] loss=0.0349, lr=0.0000050, acc=0.987
[Epoch 2 Batch 68/349] loss=0.0410, lr=0.0000050, acc=0.987
[Epoch 2 Batch 72/349] loss=0.1279, lr=0.0000050, acc=0.987
[Epoch 2 Batch 76/349] loss=0.0351, lr=0.0000050, acc=0.987
[Epoch 2 Batch 80/349] loss=0.0794, lr=0.0000050, acc=0.987
[Epoch 2 Batch 84/349] loss=0.0172, lr=0.0000050, acc=0.988
[Epoch 2 Batch 88/349] loss=0.1760, lr=0.0000050, acc=0.986
[Epoch 2 Batch 92/349] loss=0.1274, lr=0.0000050, acc=0.986
[Epoch 2 Batch 96/349] loss=0.0348, lr=0.0000050, acc=0.987
[Epoch 2 Batch 100/349] loss=0.0507, lr=0.0000050, acc=0.987
[Epoch 2 Batch 104/349] loss=0.0308, lr=0.0000050, acc=0.987
[Epoch 2 Batch 108/349] loss=0.0537, lr=0.0000050, acc=0.987
[Epoch 2 Batch 112/349] loss=0.0989, lr=0.0000050, acc=0.986
[Epoch 2 Batch 116/349] loss=0.1083, lr=0.0000050, acc=0.986
[Epoch 2 Batch 120/349] loss=0.0651, lr=0.0000050, acc=0.986
[Epoch 2 Batch 124/349] loss=0.0038, lr=0.0000050, acc=0.987
[Epoch 2 Batch 128/349] loss=0.0085, lr=0.0000050, acc=0.987
[Epoch 2 Batch 132/349] loss=0.0232, lr=0.0000050, acc=0.987
[Epoch 2 Batch 136/349] loss=0.0138, lr=0.0000050, acc=0.988
[Epoch 2 Batch 140/349] loss=0.0145, lr=0.0000050, acc=0.988
[Epoch 2 Batch 144/349] loss=0.0268, lr=0.0000050, acc=0.989
[Epoch 2 Batch 148/349] loss=0.0188, lr=0.0000050, acc=0.989
[Epoch 2 Batch 152/349] loss=0.0597, lr=0.0000050, acc=0.988
[Epoch 2 Batch 156/349] loss=0.0750, lr=0.0000050, acc=0.988
[Epoch 2 Batch 160/349] loss=0.0043, lr=0.0000050, acc=0.988
[Epoch 2 Batch 164/349] loss=0.0826, lr=0.0000050, acc=0.988
[Epoch 2 Batch 168/349] loss=0.0034, lr=0.0000050, acc=0.988
[Epoch 2 Batch 172/349] loss=0.0598, lr=0.0000050, acc=0.988
[Epoch 2 Batch 176/349] loss=0.0143, lr=0.0000050, acc=0.988
[Epoch 2 Batch 180/349] loss=0.0221, lr=0.0000050, acc=0.988
[Epoch 2 Batch 184/349] loss=0.0522, lr=0.0000050, acc=0.988
[Epoch 2 Batch 188/349] loss=0.0127, lr=0.0000050, acc=0.988
[Epoch 2 Batch 192/349] loss=0.1507, lr=0.0000050, acc=0.988
[Epoch 2 Batch 196/349] loss=0.0203, lr=0.0000050, acc=0.988
[Epoch 2 Batch 200/349] loss=0.0103, lr=0.0000050, acc=0.988
[Epoch 2 Batch 204/349] loss=0.0130, lr=0.0000050, acc=0.989
[Epoch 2 Batch 208/349] loss=0.0083, lr=0.0000050, acc=0.989
[Epoch 2 Batch 212/349] loss=0.1174, lr=0.0000050, acc=0.989
[Epoch 2 Batch 216/349] loss=0.0619, lr=0.0000050, acc=0.989
[Epoch 2 Batch 220/349] loss=0.0286, lr=0.0000050, acc=0.989
[Epoch 2 Batch 224/349] loss=0.0237, lr=0.0000050, acc=0.989
[Epoch 2 Batch 228/349] loss=0.0178, lr=0.0000050, acc=0.989
[Epoch 2 Batch 232/349] loss=0.0029, lr=0.0000050, acc=0.989
[Epoch 2 Batch 236/349] loss=0.0112, lr=0.0000050, acc=0.989
[Epoch 2 Batch 240/349] loss=0.0081, lr=0.0000050, acc=0.990
[Epoch 2 Batch 244/349] loss=0.0829, lr=0.0000050, acc=0.989
[Epoch 2 Batch 248/349] loss=0.0087, lr=0.0000050, acc=0.989
[Epoch 2 Batch 252/349] loss=0.0450, lr=0.0000050, acc=0.989
[Epoch 2 Batch 256/349] loss=0.1977, lr=0.0000050, acc=0.989
[Epoch 2 Batch 260/349] loss=0.0304, lr=0.0000050, acc=0.989
[Epoch 2 Batch 264/349] loss=0.0092, lr=0.0000050, acc=0.989
[Epoch 2 Batch 268/349] loss=0.2031, lr=0.0000050, acc=0.988
[Epoch 2 Batch 272/349] loss=0.0636, lr=0.0000050, acc=0.988
[Epoch 2 Batch 276/349] loss=0.0118, lr=0.0000050, acc=0.988
[Epoch 2 Batch 280/349] loss=0.0095, lr=0.0000050, acc=0.988
[Epoch 2 Batch 284/349] loss=0.0884, lr=0.0000050, acc=0.988
[Epoch 2 Batch 288/349] loss=0.0719, lr=0.0000050, acc=0.988
[Epoch 2 Batch 292/349] loss=0.0709, lr=0.0000050, acc=0.988
[Epoch 2 Batch 296/349] loss=0.0725, lr=0.0000050, acc=0.987
[Epoch 2 Batch 300/349] loss=0.0430, lr=0.0000050, acc=0.987
[Epoch 2 Batch 304/349] loss=0.0121, lr=0.0000050, acc=0.987
[Epoch 2 Batch 308/349] loss=0.0092, lr=0.0000050, acc=0.988
[Epoch 2 Batch 312/349] loss=0.0244, lr=0.0000050, acc=0.988
[Epoch 2 Batch 316/349] loss=0.0231, lr=0.0000050, acc=0.988
[Epoch 2 Batch 320/349] loss=0.0087, lr=0.0000050, acc=0.988
[Epoch 2 Batch 324/349] loss=0.0363, lr=0.0000050, acc=0.988
[Epoch 2 Batch 328/349] loss=0.1551, lr=0.0000050, acc=0.988
[Epoch 2 Batch 332/349] loss=0.0315, lr=0.0000050, acc=0.988
[Epoch 2 Batch 336/349] loss=0.0185, lr=0.0000050, acc=0.988
[Epoch 2 Batch 340/349] loss=0.0308, lr=0.0000050, acc=0.988
[Epoch 2 Batch 344/349] loss=0.1002, lr=0.0000050, acc=0.988
[Epoch 2 Batch 348/349] loss=0.1848, lr=0.0000050, acc=0.987
[Epoch 3 Batch 4/349] loss=0.0108, lr=0.0000050, acc=1.000
[Epoch 3 Batch 8/349] loss=0.0099, lr=0.0000050, acc=1.000
[Epoch 3 Batch 12/349] loss=0.0076, lr=0.0000050, acc=1.000
[Epoch 3 Batch 16/349] loss=0.0055, lr=0.0000050, acc=1.000
[Epoch 3 Batch 20/349] loss=0.1215, lr=0.0000050, acc=0.997
[Epoch 3 Batch 24/349] loss=0.0519, lr=0.0000050, acc=0.997
[Epoch 3 Batch 28/349] loss=0.0080, lr=0.0000050, acc=0.998
[Epoch 3 Batch 32/349] loss=0.0728, lr=0.0000050, acc=0.996
[Epoch 3 Batch 36/349] loss=0.0085, lr=0.0000050, acc=0.996
[Epoch 3 Batch 40/349] loss=0.0286, lr=0.0000050, acc=0.995
[Epoch 3 Batch 44/349] loss=0.0084, lr=0.0000050, acc=0.996
[Epoch 3 Batch 48/349] loss=0.0043, lr=0.0000050, acc=0.996
[Epoch 3 Batch 52/349] loss=0.0037, lr=0.0000050, acc=0.996
[Epoch 3 Batch 56/349] loss=0.0052, lr=0.0000050, acc=0.997
[Epoch 3 Batch 60/349] loss=0.0097, lr=0.0000050, acc=0.997
[Epoch 3 Batch 64/349] loss=0.0090, lr=0.0000050, acc=0.997
[Epoch 3 Batch 68/349] loss=0.0049, lr=0.0000050, acc=0.997
[Epoch 3 Batch 72/349] loss=0.0066, lr=0.0000050, acc=0.997
[Epoch 3 Batch 76/349] loss=0.0046, lr=0.0000050, acc=0.997
[Epoch 3 Batch 80/349] loss=0.0030, lr=0.0000050, acc=0.998
[Epoch 3 Batch 84/349] loss=0.0469, lr=0.0000050, acc=0.997
[Epoch 3 Batch 88/349] loss=0.0033, lr=0.0000050, acc=0.997
[Epoch 3 Batch 92/349] loss=0.0095, lr=0.0000050, acc=0.997
[Epoch 3 Batch 96/349] loss=0.0102, lr=0.0000050, acc=0.997
