[Epoch 0 Batch 4/414] loss=3.7131, lr=0.0000050, acc=0.000
[Epoch 0 Batch 8/414] loss=3.6070, lr=0.0000050, acc=0.008
[Epoch 0 Batch 12/414] loss=3.6605, lr=0.0000050, acc=0.021
[Epoch 0 Batch 16/414] loss=3.5284, lr=0.0000050, acc=0.051
[Epoch 0 Batch 20/414] loss=3.4337, lr=0.0000050, acc=0.103
[Epoch 0 Batch 24/414] loss=3.1944, lr=0.0000050, acc=0.148
[Epoch 0 Batch 28/414] loss=3.1045, lr=0.0000050, acc=0.194
[Epoch 0 Batch 32/414] loss=3.1265, lr=0.0000050, acc=0.220
[Epoch 0 Batch 36/414] loss=3.1618, lr=0.0000050, acc=0.229
[Epoch 0 Batch 40/414] loss=2.8793, lr=0.0000050, acc=0.246
[Epoch 0 Batch 44/414] loss=3.0418, lr=0.0000050, acc=0.261
[Epoch 0 Batch 48/414] loss=2.8170, lr=0.0000050, acc=0.285
[Epoch 0 Batch 52/414] loss=2.7426, lr=0.0000050, acc=0.303
[Epoch 0 Batch 56/414] loss=2.6965, lr=0.0000050, acc=0.321
[Epoch 0 Batch 60/414] loss=2.9625, lr=0.0000050, acc=0.318
[Epoch 0 Batch 64/414] loss=3.1095, lr=0.0000050, acc=0.322
[Epoch 0 Batch 68/414] loss=2.6987, lr=0.0000050, acc=0.330
[Epoch 0 Batch 72/414] loss=2.6337, lr=0.0000050, acc=0.342
[Epoch 0 Batch 76/414] loss=2.6116, lr=0.0000050, acc=0.354
[Epoch 0 Batch 80/414] loss=2.7878, lr=0.0000050, acc=0.352
[Epoch 0 Batch 84/414] loss=2.2119, lr=0.0000050, acc=0.365
[Epoch 0 Batch 88/414] loss=2.4764, lr=0.0000050, acc=0.369
[Epoch 0 Batch 92/414] loss=2.4299, lr=0.0000050, acc=0.373
[Epoch 0 Batch 96/414] loss=2.6705, lr=0.0000050, acc=0.371
[Epoch 0 Batch 100/414] loss=2.2707, lr=0.0000050, acc=0.378
[Epoch 0 Batch 104/414] loss=2.1024, lr=0.0000050, acc=0.390
