[Epoch 1 Batch 144/180] loss=0.3168, lr=0.0000050, acc=0.888
[Epoch 1 Batch 148/180] loss=0.3750, lr=0.0000050, acc=0.887
[Epoch 1 Batch 152/180] loss=0.2783, lr=0.0000050, acc=0.887
[Epoch 1 Batch 156/180] loss=0.2381, lr=0.0000050, acc=0.888
[Epoch 1 Batch 160/180] loss=0.2291, lr=0.0000050, acc=0.888
[Epoch 1 Batch 164/180] loss=0.1172, lr=0.0000050, acc=0.891
[Epoch 1 Batch 168/180] loss=0.2328, lr=0.0000050, acc=0.891
[Epoch 1 Batch 172/180] loss=0.2453, lr=0.0000050, acc=0.892
[Epoch 1 Batch 176/180] loss=0.2879, lr=0.0000050, acc=0.892
[Epoch 1 Batch 180/180] loss=0.2582, lr=0.0000050, acc=0.892
[Epoch 2 Batch 4/180] loss=0.1063, lr=0.0000050, acc=0.984
[Epoch 2 Batch 8/180] loss=0.1631, lr=0.0000050, acc=0.977
[Epoch 2 Batch 12/180] loss=0.2797, lr=0.0000050, acc=0.953
[Epoch 2 Batch 16/180] loss=0.1758, lr=0.0000050, acc=0.947
[Epoch 2 Batch 20/180] loss=0.1666, lr=0.0000050, acc=0.945
[Epoch 2 Batch 24/180] loss=0.0821, lr=0.0000050, acc=0.952
[Epoch 2 Batch 28/180] loss=0.1314, lr=0.0000050, acc=0.954
[Epoch 2 Batch 32/180] loss=0.2916, lr=0.0000050, acc=0.948
[Epoch 2 Batch 36/180] loss=0.3382, lr=0.0000050, acc=0.942
[Epoch 2 Batch 40/180] loss=0.1254, lr=0.0000050, acc=0.944
[Epoch 2 Batch 44/180] loss=0.2452, lr=0.0000050, acc=0.942
[Epoch 2 Batch 48/180] loss=0.3077, lr=0.0000050, acc=0.941
[Epoch 2 Batch 52/180] loss=0.1594, lr=0.0000050, acc=0.940
[Epoch 2 Batch 56/180] loss=0.2258, lr=0.0000050, acc=0.941
[Epoch 2 Batch 60/180] loss=0.4441, lr=0.0000050, acc=0.934
[Epoch 2 Batch 64/180] loss=0.1122, lr=0.0000050, acc=0.934
[Epoch 2 Batch 68/180] loss=0.1181, lr=0.0000050, acc=0.937
[Epoch 2 Batch 72/180] loss=0.0686, lr=0.0000050, acc=0.940
[Epoch 2 Batch 76/180] loss=0.1479, lr=0.0000050, acc=0.939
[Epoch 2 Batch 80/180] loss=0.3703, lr=0.0000050, acc=0.935
[Epoch 2 Batch 84/180] loss=0.1177, lr=0.0000050, acc=0.936
[Epoch 2 Batch 88/180] loss=0.2684, lr=0.0000050, acc=0.934
[Epoch 2 Batch 92/180] loss=0.2457, lr=0.0000050, acc=0.933
[Epoch 2 Batch 96/180] loss=0.3082, lr=0.0000050, acc=0.933
[Epoch 2 Batch 100/180] loss=0.1411, lr=0.0000050, acc=0.934
[Epoch 2 Batch 104/180] loss=0.2582, lr=0.0000050, acc=0.934
[Epoch 2 Batch 108/180] loss=0.1454, lr=0.0000050, acc=0.935
[Epoch 2 Batch 112/180] loss=0.1330, lr=0.0000050, acc=0.936
[Epoch 2 Batch 116/180] loss=0.3313, lr=0.0000050, acc=0.934
[Epoch 2 Batch 120/180] loss=0.1646, lr=0.0000050, acc=0.935
[Epoch 2 Batch 124/180] loss=0.2412, lr=0.0000050, acc=0.935
[Epoch 2 Batch 128/180] loss=0.1984, lr=0.0000050, acc=0.935
[Epoch 2 Batch 132/180] loss=0.4667, lr=0.0000050, acc=0.934
[Epoch 2 Batch 136/180] loss=0.1957, lr=0.0000050, acc=0.934
[Epoch 2 Batch 140/180] loss=0.2861, lr=0.0000050, acc=0.933
[Epoch 2 Batch 144/180] loss=0.1498, lr=0.0000050, acc=0.934
[Epoch 2 Batch 148/180] loss=0.2891, lr=0.0000050, acc=0.933
[Epoch 2 Batch 152/180] loss=0.2800, lr=0.0000050, acc=0.933
[Epoch 2 Batch 156/180] loss=0.1124, lr=0.0000050, acc=0.934
[Epoch 2 Batch 160/180] loss=0.2018, lr=0.0000050, acc=0.934
[Epoch 2 Batch 164/180] loss=0.3017, lr=0.0000050, acc=0.933
[Epoch 2 Batch 168/180] loss=0.3873, lr=0.0000050, acc=0.931
[Epoch 2 Batch 172/180] loss=0.4828, lr=0.0000050, acc=0.929
[Epoch 2 Batch 176/180] loss=0.0555, lr=0.0000050, acc=0.930
[Epoch 2 Batch 180/180] loss=0.4242, lr=0.0000050, acc=0.929
[Epoch 3 Batch 4/180] loss=0.1150, lr=0.0000050, acc=0.953
[Epoch 3 Batch 8/180] loss=0.1621, lr=0.0000050, acc=0.952
[Epoch 3 Batch 12/180] loss=0.1194, lr=0.0000050, acc=0.958
[Epoch 3 Batch 16/180] loss=0.1885, lr=0.0000050, acc=0.957
[Epoch 3 Batch 20/180] loss=0.2046, lr=0.0000050, acc=0.950
[Epoch 3 Batch 24/180] loss=0.0888, lr=0.0000050, acc=0.955
[Epoch 3 Batch 28/180] loss=0.1729, lr=0.0000050, acc=0.952
[Epoch 3 Batch 32/180] loss=0.1406, lr=0.0000050, acc=0.954
[Epoch 3 Batch 36/180] loss=0.1230, lr=0.0000050, acc=0.954
[Epoch 3 Batch 40/180] loss=0.1897, lr=0.0000050, acc=0.949
[Epoch 3 Batch 44/180] loss=0.0168, lr=0.0000050, acc=0.954
[Epoch 3 Batch 48/180] loss=0.0959, lr=0.0000050, acc=0.954
[Epoch 3 Batch 52/180] loss=0.1455, lr=0.0000050, acc=0.952
[Epoch 3 Batch 56/180] loss=0.0729, lr=0.0000050, acc=0.953
[Epoch 3 Batch 60/180] loss=0.0492, lr=0.0000050, acc=0.956
[Epoch 3 Batch 64/180] loss=0.1318, lr=0.0000050, acc=0.955
[Epoch 3 Batch 68/180] loss=0.3921, lr=0.0000050, acc=0.952
[Epoch 3 Batch 72/180] loss=0.2341, lr=0.0000050, acc=0.951
[Epoch 3 Batch 76/180] loss=0.1306, lr=0.0000050, acc=0.951
[Epoch 3 Batch 80/180] loss=0.3962, lr=0.0000050, acc=0.947
[Epoch 3 Batch 84/180] loss=0.0310, lr=0.0000050, acc=0.950
[Epoch 3 Batch 88/180] loss=0.1222, lr=0.0000050, acc=0.951
[Epoch 3 Batch 92/180] loss=0.0761, lr=0.0000050, acc=0.952
[Epoch 3 Batch 96/180] loss=0.1152, lr=0.0000050, acc=0.952
[Epoch 3 Batch 100/180] loss=0.2512, lr=0.0000050, acc=0.951
